index,bearing,latitude_geo,longitude_geo,speed_over_ground,desired_operating_speed_engine,engine_speed,fuel_delivery_pressure_sensor,fuel_pressure,fuel_rate,level_engine_coolant,load,engine_oil_filter_diff_pressure_j1939,oil_pressure,position_accelerator_pedal_1,position_engine_throttle,potential_battery_power_input_1,pressure_diff_fuel_filter,pressure_engine_coolant ,pressure_engine_crankcase,pressure_engine_inlet_air,pressure_engine_intake_manifold_1,rated_speed_engine,running_hours,temperature_ambient_air,temperature_engine_air_inlet,temperature_engine_coolant,temperature_engine_fuel_1,temperature_engine_intake_manifold_1,left_manifold_exh_gas_temperature,right_manifold_exh_gas_temperature,total_average_fuel_rate_engine,total_fuel_used_engine,transmission_1_oil_pressure,transmission_oil_temperature_1,trip_fuel_engine,acceleration_x,acceleration_y,acceleration_z,operation,year,month,day,hour,minute,second
42,98.6753,50.4175,7.560399,0,650,0,0,0,0,0,0,0,0,0,0,25.7,1.2,0,0,0,0,0,412.35,0,0,65,0,66,118.406,94.094,84.45,34824,16,26,34824,0.01602992,-0.12774384,0.0086184,0,2021,6,1,0,6,44
43,98.6753,50.4175,7.560399,0,650,0,0,0,0,0,0,0,0,0,0,25.65,1.2,0,0,0,0,0,412.35,0,0,65,0,66,118.406,94.094,84.45,34824,16,26,34824,0.01602992,-0.12774384,0.0086184,0,2021,6,1,0,6,45
44,98.6753,50.4175,7.560399,0,650,0,0,0,0,0,0,0,0,0,0,25.65,1.2,0,0,0,0,0,412.35,0,0,65,0,66,118.406,94.094,84.45,34824,16,26,34824,0.01602992,-0.12774384,0.0086184,0,2021,6,1,0,6,46
45,98.6753,50.4175,7.560399,0,650,0,0,0,0,0,0,0,0,0,0,25.65,1.2,0,0,0,0,0,412.35,0,0,65,0,66,118.406,94.094,84.45,34824,16,26,34824,0.01602992,-0.12774384,0.0086184,0,2021,6,1,0,6,47
46,98.6753,50.4175,7.560399,0,650,0,0,0,0,0,0,0,0,0,0,25.65,1.2,0,0,0,0,0,412.35,0,0,65,0,66,118.406,94.094,84.45,34824,16,26,34824,0.01813664,-0.11089008,0.01417248,0,2021,6,1,0,6,48
47,98.6753,50.4175,7.560399,0,650,0,0,0,0,0,0,0,0,0,0,25.65,0,0,0,0,0,0,412.35,0,0,65,0,66,118.406,94.094,84.45,34824,16,26.181818,34824,0.01813664,-0.11089008,0.01417248,0,2021,6,1,0,6,59
48,98.6753,50.4175,7.560399,0,650,0,0,0,0,0,0,0,0,0,0,25.65,0,0,0,0,0,0,412.35,0,0,65,0,66,118.406,94.094,84.45,34824,16,26.181818,34824,0.01449776,-0.11280528,-0.00651168,0,2021,6,1,0,7,0
49,98.6753,50.4175,7.560399,0,650,0,0,0,0,0,0,0,0,0,0,25.65,0,0,0,0,0,0,412.35,0,0,65,0,66,118.406,94.094,84.45,34824,16,26.181818,34824,0.01756208,-0.10744272,0.00823536,0,2021,6,1,0,7,13
50,98.6753,50.417496,7.560418,0,650,0,0,0,0,0,0,0,0,0,0,25.65,0,0,0,0,0,0,412.35,0,0,65,0,66,118.406,94.094,84.45,34824,16,26.181818,34824,0.01756208,-0.10744272,0.00823536,0,2021,6,1,0,7,14
51,98.6753,50.417496,7.560418,0,650,0,0,0,0,0,0,0,0,0,0,25.65,0,0,0,0,0,0,412.35,0,0,65,0,66,118.406,94.094,84.45,34824,16,26.181818,34824,0.01756208,-0.10744272,0.00823536,0,2021,6,1,0,7,15
